animeID, name,animeID
1,Cowboy Bebop,1
5,Cowboy Bebop: Tengoku no Tobira,5
6,Trigun,6
7,Witch Hunter Robin,7
8,Bouken Ou Beet,8
16,Hachimitsu to Clover,16
17,Hungry Heart: Wild Striker,17
18,Initial D Fourth Stage,18
19,Monster,19
20,Naruto,20
21,One Piece,21
22,Tennis no Ouji-sama,22
23,Ring ni Kakero 1,23
25,Sunabouzu,25
26,Texhnolyze,26
27,Trinity Blood,27
28,Yakitate!! Japan,28
29,Zipang,29
30,Neon Genesis Evangelion,30
31,Neon Genesis Evangelion: Death & Rebirth,31
32,Neon Genesis Evangelion: The End of Evangelion,32
33,Kenpuu Denki Berserk,33
43,Ghost in the Shell,43
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,44
45,Rurouni Kenshin: Meiji Kenkaku Romantan,45
46,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,46
47,Akira,47
48,.hack//Sign,48
50,Aa! Megami-sama! (TV),50
51,Tenshi Kinryouku,51
53,Ai Yori Aoshi,53
54,Appleseed (Movie),54
55,Arc the Lad,55
56,Avenger,56
57,Beck,57
58,Blue Gender,58
59,Chobits,59
60,Chrno Crusade,60
61,D.N.Angel,61
62,D.C.: Da Capo,62
63,DearS,63
64,Rozen Maiden,64
65,Rozen Maiden: Träumend,65
67,Basilisk: Kouga Ninpou Chou,67
69,Cluster Edge,69
71,Full Metal Panic!,71
72,Full Metal Panic? Fumoffu,72
73,Full Metal Panic! The Second Raid,73
75,Soukyuu no Fafner: Dead Aggressor,75
76,Mahou Shoujo Lyrical Nanoha,76
77,Mahou Shoujo Lyrical Nanoha A's,77
79,Shuffle!,79
80,Mobile Suit Gundam,80
81,Mobile Suit Gundam: The 08th MS Team,81
82,Mobile Suit Gundam 0080: War in the Pocket,82
83,Mobile Suit Gundam: The 08th MS Team - Miller's Report,83
84,Mobile Suit Gundam 0083: Stardust Memory,84
85,Mobile Suit Zeta Gundam,85
86,Mobile Suit Gundam ZZ,86
87,Mobile Suit Gundam: Char's Counterattack,87
88,Mobile Suit Gundam F91,88
89,Mobile Suit Victory Gundam,89
90,Mobile Suit Gundam Wing,90
91,Mobile Suit Gundam Wing: Endless Waltz,91
92,After War Gundam X,92
94,Mobile Suit Gundam SEED Destiny,94
95,Turn A Gundam,95
96,Mobile Fighter G Gundam,96
97,Last Exile,97
98,Mai-HiME,98
99,Mai-Otome,99
101,Air,101
102,Aishiteruze Baby★★,102
103,Akazukin Chacha,103
104,Ayashi no Ceres,104
105,Boys Be...,105
106,Hana yori Dango,106
107,Ou Dorobou Jing,107
108,Ou Dorobou Jing in Seventh Heaven,108
109,Bakuretsu Tenshi,109
110,Chuuka Ichiban!,110
112,Chou Henshin Cosprayers,112
113,Uchuu no Stellvia,113
114,Sakigake!! Cromartie Koukou,114
115,El Hazard: The Alternative World,115
116,El Hazard: The Wanderers,116
117,El Hazard: The Magnificent World,117
118,El Hazard 2: The Magnificent World,118
119,Final Approach,119
120,Fruits Basket,120
121,Fullmetal Alchemist,121
122,Full Moon wo Sagashite,122
123,Fushigi Yuugi,123
124,Fushigi Yuugi: Eikouden,124
125,Futakoi,125
126,Futakoi Alternative,126
127,Gate Keepers,127
128,Gate Keepers 21,128
129,Gensoumaden Saiyuuki,129
130,Saiyuuki Reload,130
131,Saiyuuki Reload Gunlock,131
132,GetBackers,132
133,Green Green,133
134,Gunslinger Girl,134
135,Hikaru no Go,135
136,Hunter x Hunter,136
137,Hunter x Hunter: Yorkshin City Kanketsu-hen,137
138,Hunter x Hunter: Greed Island,138
139,Hunter x Hunter: Greed Island Final,139
142,Kamikaze Kaitou Jeanne,142
143,Kannazuki no Miko,143
144,Kanon,144
145,Kareshi Kanojo no Jijou,145
146,Kono Minikuku mo Utsukushii Sekai,146
148,Kita e.: Diamond Dust Drops,148
149,Loveless,149
150,Blood+,150
151,Re: Cutey Honey,151
152,Solty Rei,152
153,Juuni Kokuki,153
154,Shaman King,154
155,X/1999,155
156,X,156
157,Mahou Sensei Negima!,157
158,Maria-sama ga Miteru,158
159,Boukyaku no Senritsu,159
160,"Ima, Soko ni Iru Boku",160
161,Peace Maker Kurogane,161
162,Pita Ten,162
163,Power Stone,163
164,Mononoke Hime,164
165,RahXephon,165
166,Samurai 7,166
167,Scrapped Princess,167
168,s.CRY.ed,168
169,Shingetsutan Tsukihime,169
170,Slam Dunk,170
171,Strange Dawn,171
174,Tenjou Tenge,174
175,Tokyo Underground,175
176,Triangle Heart: Sweet Songs Forever,176
177,Tsubasa Chronicle,177
178,Ultra Maniac,178
180,Vandread,180
181,Vandread: The Second Stage,181
183,Whistle!,183
184,Xenosaga The Animation,184
186,Initial D Second Stage,186
187,Initial D Third Stage,187
188,Gosenzo San'e,188
189,Love Hina,189
190,Love Hina Again,190
191,Love Hina Christmas Special: Silent Eve,191
192,Love Hina Haru Special: Kimi Sakura Chiru Nakare!!,192
193,Maburaho,193
194,Macross Zero,194
195,Onegai☆Teacher,195
196,Onegai☆Twins,196
197,Rizelmine,197
198,Speed Grapher,198
199,Sen to Chihiro no Kamikakushi,199
200,Tenshi na Konamaiki,200
201,Video Girl Ai,201
202,Wolf's Rain,202
204,Yumeria,204
205,Samurai Champloo,205
206,Lodoss-tou Senki: Eiyuu Kishi Den,206
207,Lodoss-tou Senki,207
208,R.O.D: Read or Die,208
210,Ranma ½,210
211,Pure Mail,211
212,Project A-Ko,212
213,Pia Carrot e Youkoso!!,213
214,Pia Carrot e Youkoso!! 2,214
215,Pia Carrot e Youkoso!! 2 DX,215
216,Pia Carrot e Youkoso!!: Sayaka no Koi Monogatari,216
217,Shin Angel,217
218,Kidou Senkan Nadesico,218
220,Kuro no Danshou,220
222,Mezzo DSA,222
223,Dragon Ball,223
225,Dragon Ball GT,225
226,Elfen Lied,226
227,FLCL,227
228,Jigoku Shoujo,228
229,Ninin ga Shinobuden,229
230,Air Master,230
232,Cardcaptor Sakura,232
233,Daa! Daa! Daa!,233
234,Dan Doh!!,234
235,Detective Conan,235
236,E's Otherwise,236
237,Koukyoushihen Eureka Seven,237
239,Gankutsuou,239
240,Genshiken,240
241,Girls Bravo: First Season,241
242,Gokusen,242
245,Great Teacher Onizuka,245
246,Groove Adventure Rave,246
247,Harukanaru Toki no Naka de: Hachiyou Shou,247
249,InuYasha,249
250,Konjiki no Gash Bell!!,250
251,Kyou kara Maou!,251
252,Madlax,252
253,Jungle wa Itsumo Hare nochi Guu,253
254,Jungle wa Itsumo Hare nochi Guu Deluxe,254
255,Jungle wa Itsumo Hare nochi Guu Final,255
258,Hitsuji no Uta,258
260,Happy☆Lesson (TV),260
261,Happy☆Lesson: Advance,261
262,Happy☆Lesson: The Final,262
263,Hajime no Ippo,263
264,Hajime no Ippo: Champion Road,264
265,Hajime no Ippo: Mashiba vs. Kimura,265
267,Gungrave,267
268,Golden Boy,268
269,Bleach,269
270,Hellsing,270
271,Gad Guard,271
272,Noir,272
273,Mahoutsukai ni Taisetsu na Koto,273
274,Kiddy Grade,274
275,Love♥Love?,275
276,Mahoromatic: Automatic Maiden,276
277,Mahoromatic 2,277
278,Viewtiful Joe,278
279,Kyougoku Natsuhiko: Kousetsu Hyaku Monogatari,279
280,Animal Yokochou,280
281,Akane Maniax,281
282,Angel Heart,282
283,Akage no Anne,283
284,Area 88 (TV),284
285,Argento Soma,285
286,B'T X,286
288,Bakuten Shoot Beyblade,288
289,Comic Party,289
290,Seikai no Monshou,290
292,Dear Boys,292
295,Divergence Eve 2: Misaki Chronicles,295
296,Dragon Drive,296
297,Grenadier: Hohoemi no Senshi,297
299,.hack//Liminality,299
300,3x3 Eyes,300
301,Cinderella Boy,301
302,Mirai Shounen Conan,302
304,Aa! Megami-sama! Movie,304
305,Abashiri Ikka,305
306,Abenobashi Mahou☆Shoutengai,306
307,Kerokko Demetan,307
308,Zettai Shounen,308
309,Akahori Gedou Hour Rabuge,309
310,"Chiisana Obake Acchi, Kocchi, Socchi",310
311,Ace wo Nerae!,311
312,Ace wo Nerae!: Final Stage,312
313,Ace wo Nerae! (1979),313
314,Ace wo Nerae! 2,314
315,Xiao Qian,315
316,Nageki no Kenkou Yuuryouji,316
318,Hand Maid May,318
319,Happy World!,319
320,A Kite,320
322,Paradise Kiss,322
323,Mousou Dairinin,323
324,Kidou Keisatsu Patlabor: On Television,324
326,Petshop of Horrors,326
327,Puchi Pri*Yucie,327
328,Piano (TV),328
329,Planetes,329
330,Midori no Hibi,330
331,Mahoujin Guruguru,331
332,Dokidoki♡Densetsu: Mahoujin Guruguru,332
333,Mama wa Shougaku 4 Nensei,333
334,Marmalade Boy,334
335,Matantei Loki Ragnarok,335
336,Ginyuu Mokushiroku Meine Liebe,336
337,Psychic Academy,337
338,Versailles no Bara,338
339,Serial Experiments Lain,339
340,Mutsu Enmei Ryuu Gaiden: Shura no Toki,340
341,Spiral: Suiri no Kizuna,341
342,Starship Operators,342
343,Tsukuyomi: Moon Phase,343
344,Futatsu no Spica,344
345,Eikoku Koi Monogatari Emma,345
346,W: Wish,346
347,Wild Arms: Twilight Venom,347
348,Binzume Yousei,348
349,Magical Canan,349
350,Ojamajo Doremi,350
351,Ojamajo Doremi Sharp,351
352,Motto! Ojamajo Doremi,352
353,Ojamajo Doremi Dokkaan!,353
354,UG☆Ultimate Girls,354
355,Shakugan no Shana,355
356,Fate/stay night,356
357,Bokusatsu Tenshi Dokuro-chan,357
358,"Iriya no Sora, UFO no Natsu",358
359,I'll/CKBC,359
360,Himiko-den,360
361,Memories Off,361
362,Memories Off 2nd,362
363,Memories Off 3.5,363
364,Gallery Fake,364
365,Fake,365
366,AIKa,366
367,Akazukin Chacha OVA,367
368,Bible Black,368
369,Boogiepop wa Warawanai: Boogiepop Phantom,369
370,Burn Up Excess,370
371,Cardcaptor Sakura Movie 1,371
372,Cardcaptor Sakura Movie 2: Fuuin Sareta Card,372
373,Bannou Bunka Neko-Musume,373
374,Bannou Bunka Neko-Musume DASH!,374
375,Bannou Bunka Neko-Musume (1998),375
376,"Elfen Lied: Tooriame nite Arui wa, Shoujo wa Ikani Shite Sono Shinjou ni Itatta ka? - Regenschauer",376
377,eX-Driver,377
378,eX-Driver the Movie,378
379,Heppoko Jikken Animation Excel♥Saga,379
380,Fushigi Yuugi OVA,380
381,Fushigi Yuugi: Dai Ni Bu,381
382,Futari Ecchi,382
383,Galaxy Angel,383
384,Gantz,384
385,Gilgamesh,385
386,H2,386
387,Haibane Renmei,387
388,Capeta,388
389,Karas,389
390,Suzuka,390
391,Tales of Phantasia The Animation,391
392,Yuu☆Yuu☆Hakusho,392
393,Escaflowne,393
394,Ai Yori Aoshi: Enishi,394
395,Gantz 2nd Stage,395
396,Seikai no Senki,396
397,Seikai no Senki II,397
398,Seikai no Senki III,398
399,Seikai no Senki Special,399
400,Seihou Bukyou Outlaw Star,400
401,Rurouni Kenshin: Meiji Kenkaku Romantan - Seisou-hen,401
402,Otogi Juushi Akazukin OVA,402
403,Hanaukyou Maid-tai,403
404,Bastard!!: Ankoku no Hakaishin,404
405,Blood: The Last Vampire,405
406,Buzzer Beater,406
407,Tantei Gakuen Q,407
408,Final Fantasy VII: Last Order,408
411,Gun x Sword,411
412,Kore ga Watashi no Goshujinsama,412
413,Hametsu no Mars,413
415,Tonari no Yamada-kun,415
416,Kurenai no Buta,416
417,Ragnarök The Animation,417
418,Ranma ½: Chuugoku Nekonron Daikessen! Okite Yaburi no Gekitou-hen!!,418
419,Samurai Deeper Kyou,419
420,Spriggan,420
421,Stratos 4,421
422,Stratos 4 OVA,422
423,Stratos 4 Advance,423
424,Dirty Pair,424
425,Shiritsu Araiso Koutougakkou Seitokai Shikkoubu,425
426,Final Fantasy,426
427,Kaleido Star,427
428,Kaleido Star: Aratanaru Tsubasa - Extra Stage,428
429,Kaleido Star: Legend of Phoenix - Layla Hamilton Monogatari,429
430,Fullmetal Alchemist: The Conqueror of Shamballa,430
431,Howl no Ugoku Shiro,431
432,Iria: Zeiram The Animation,432
433,"Kumo no Mukou, Yakusoku no Basho",433
434,Legend of Lemnear: Kyokuguro no Tsubasa Valkisas,434
435,Magic Knight Rayearth,435
437,Perfect Blue,437
438,Phantom The Animation,438
439,RG Veda,439
440,Shoujo Kakumei Utena,440
441,Shoujo Kakumei Utena: Adolescence Mokushiroku,441
442,Naruto Movie 1: Dai Katsugeki!! Yuki Hime Shinobu Houjou Dattebayo!,442
443,Onegai☆Teacher: Himitsu na Futari,443
444,Maria-sama ga Miteru: Haru,444
445,Tales of Eternia The Animation,445
446,Weiß Kreuz Glühen,446
447,Weiß Kreuz,447
448,Tenjou Tenge: The Ultimate Fight,448
449,InuYasha Movie 04: Guren no Houraijima,449
450,InuYasha Movie 02: Kagami no Naka no Mugenjo,450
451,InuYasha Movie 03: Tenka Hadou no Ken,451
452,InuYasha Movie 01: Toki wo Koeru Omoi,452
454,.hack//Gift,454
455,Fantastic Children,455
456,Gokujou Seitokai,456
457,Mushishi,457
458,Buttobi!! CPU,458
459,One Piece Movie 1,459
460,One Piece Movie 2: Nejimaki-jima no Daibouken,460
461,One Piece Movie 3: Chinjuu-jima no Chopper Oukoku,461
462,One Piece Movie 4: Dead End no Bouken,462
463,One Piece Movie 5: Norowareta Seiken,463
464,One Piece Movie 6: Omatsuri Danshaku to Himitsu no Shima,464
465,One Piece Movie 7: Karakuri-jou no Mecha Kyohei,465
466,One Piece: Taose! Kaizoku Ganzack,466
467,Ghost in the Shell: Stand Alone Complex,467
468,Ghost in the Shell 2: Innocence,468
469,Karin,469
470,Okusama wa Joshikousei (TV),470
471,To Heart 2,471
472,To Heart,472
473,Tide-Line Blue,473
474,Macross Plus,474
475,Hotori: Tada Saiwai wo Koinegau,475
476,Ginban Kaleidoscope,476
478,Sousei no Aquarion,478
479,Ueki no Housoku,479
481,Yu☆Gi☆Oh! Duel Monsters,481
482,Yu☆Gi☆Oh!: Duel Monsters GX,482
483,Kurau Phantom Memory,483
484,Gensoumaden Saiyuuki Movie: Requiem - Erabarezaru Mono e no Chinkonka,484
485,Damekko Doubutsu,485
486,Kino no Tabi: The Beautiful World,486
487,Girls Bravo: Second Season,487
489,Kamichu!,489
490,Paniponi Dash!,490
495,Bakuretsu Hunters,495
496,Kamui no Ken,496
497,Yami to Boushi to Hon no Tabibito,497
498,Haja Taisei Dangaiou,498
499,Makai Toshi Shinjuku,499
501,Doraemon,501
